ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
8707903,HV384272,07/10/2012 08:00:00 PM,034XX N SHEFFIELD AVE,0890,THEFT,FROM BUILDING,OTHER,False,False,1924,19,44.0,6.0,06,1168992.0,1923197.0,2012,02/10/2018 03:50:01 PM,41.944773169,-87.654255484,"(41.944773169, -87.654255484)"
8762054,HV436870,08/19/2012 01:45:00 AM,087XX S SAGINAW AVE,0460,BATTERY,SIMPLE,STREET,False,False,423,4,7.0,46.0,08B,1195392.0,1847624.0,2012,02/04/2016 06:33:39 AM,41.736783409,-87.559723854,"(41.736783409, -87.559723854)"
8694852,HV370936,07/07/2012 01:30:00 AM,053XX W IRVING PARK RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1634,16,38.0,15.0,07,1140142.0,1926079.0,2012,02/04/2016 06:33:39 AM,41.953259877,-87.760226384,"(41.953259877, -87.760226384)"
8730290,HV406706,07/30/2012 02:45:00 AM,035XX W LAWRENCE AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,1712,17,39.0,14.0,08B,1151740.0,1931662.0,2012,02/04/2016 06:33:39 AM,41.968359268,-87.717443351,"(41.968359268, -87.717443351)"
8706545,HV383062,07/14/2012 07:15:00 PM,036XX S PAULINA ST,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,STREET,True,False,912,9,11.0,59.0,08A,1165612.0,1880591.0,2012,02/04/2016 06:33:39 AM,41.827931832,-87.667893309,"(41.827931832, -87.667893309)"
8693763,HV369583,07/06/2012 01:50:00 PM,035XX W LEXINGTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1133,11,24.0,27.0,08B,1152961.0,1896475.0,2012,02/10/2018 03:50:01 PM,41.871778951,-87.713888331,"(41.871778951, -87.713888331)"
8629449,HV302784,05/25/2012 10:30:00 AM,071XX S MORGAN ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",True,False,733,7,17.0,68.0,18,1170879.0,1857445.0,2012,02/04/2016 06:33:39 AM,41.764303087,-87.649245116,"(41.764303087, -87.649245116)"
8630149,HV303670,05/23/2012 01:00:00 AM,033XX W 47TH ST,0261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,ALLEY,False,False,821,8,14.0,58.0,02,1154724.0,1873271.0,2012,02/04/2016 06:33:39 AM,41.808069268,-87.70803582,"(41.808069268, -87.70803582)"
8712417,HV387186,07/16/2012 11:30:00 PM,066XX S MINERVA AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,321,3,5.0,42.0,06,1185024.0,1861250.0,2012,02/04/2016 06:33:39 AM,41.774423962,-87.597281275,"(41.774423962, -87.597281275)"
8797948,HV471891,09/11/2012 11:23:00 PM,054XX W WALTON ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,1524,15,37.0,25.0,05,1139793.0,1905800.0,2012,02/10/2018 03:50:01 PM,41.897618523,-87.762006057,"(41.897618523, -87.762006057)"
8968930,HV408035,07/29/2012 11:00:00 AM,017XX N HERMITAGE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1433,14,32.0,24.0,07,1164413.0,1911591.0,2012,02/10/2018 03:50:01 PM,41.913023935,-87.671415275,"(41.913023935, -87.671415275)"
8891082,HV564660,11/16/2012 06:00:00 AM,083XX S MAY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,613,6,21.0,71.0,07,1170104.0,1849560.0,2012,02/10/2018 03:50:01 PM,41.742682483,-87.652314448,"(41.742682483, -87.652314448)"
8910860,HV583912,12/01/2012 01:10:00 AM,065XX N NORTHWEST HWY,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1611,16,41.0,9.0,14,1126247.0,1942836.0,2012,02/10/2018 03:50:01 PM,41.999486467,-87.810930866,"(41.999486467, -87.810930866)"
8917309,HV589770,12/04/2012 02:00:00 PM,049XX N SAYRE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,False,False,1613,16,41.0,10.0,14,1128934.0,1932313.0,2012,02/10/2018 03:50:01 PM,41.970564925,-87.801286362,"(41.970564925, -87.801286362)"
8867610,HV541026,10/30/2012 07:55:00 AM,055XX S NASHVILLE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,811,8,23.0,56.0,05,1133328.0,1867032.0,2012,02/10/2018 03:50:01 PM,41.79134871,-87.786658049,"(41.79134871, -87.786658049)"
8869390,HV543112,11/01/2012 12:02:00 AM,074XX S VERNON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,323,3,6.0,69.0,18,1180531.0,1855883.0,2012,02/10/2018 03:50:01 PM,41.759800704,-87.613916233,"(41.759800704, -87.613916233)"
8842789,HV514773,09/17/2012 09:00:00 AM,026XX W 24TH PL,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,1034,10,12.0,30.0,08A,1159148.0,1887744.0,2012,02/10/2018 03:50:01 PM,41.847695421,-87.691412948,"(41.847695421, -87.691412948)"
8925754,HV597810,12/11/2012 09:36:00 AM,003XX E 47TH ST,0560,ASSAULT,SIMPLE,CTA PLATFORM,True,False,215,2,3.0,38.0,08A,1179016.0,1873926.0,2012,02/10/2018 03:50:01 PM,41.809347098,-87.618919216,"(41.809347098, -87.618919216)"
8915558,HV588483,12/04/2012 12:00:00 AM,015XX W DEVON AVE,0890,THEFT,FROM BUILDING,SMALL RETAIL STORE,False,False,2432,24,40.0,1.0,06,1165030.0,1942601.0,2012,02/10/2018 03:50:01 PM,41.998103671,-87.668264445,"(41.998103671, -87.668264445)"
